1: 1
2: 2
3: 5
4: 26
5: 677
6: 458330
7: 210066388901
8: 44127887745906175987802
9: 1947270476915296449559703445493848930452791205
10: 3791862310265926082868235028027893277370233152247388584761734150717768254410341175325352026
11: 14378219780015246281818710879551167697596193767663736497089725524386087657390556152293078723153293423353330879856663164406809615688082297859526620035327291442156498380795040822304677
12: 206733204042421677181634718734036889377274379383357716793405865823317095368775657289542893376781635914484312173817557988370878548961245582641826131216636641404794790451610519266609830021136113094251414331751648388702965701984820995989371335396043070504172130112866209291049622803261659179113537278037525778584436702376761342360786599429657542977416989141816074330
13: 42738617653645554487425669417955367763548489178153791212890331885138890998900808508146311757939093198954220995963493880469893655060010272737530068485887533886750263319088128875100617961740172918691094829068947024559255417843694122849355986039999784721779678479610340520316257460780653331211115191175921001686550288449540320526606015935656176339986358350085020871937781528861776129372953594883435388246572243486971684762525383211187114336334622961088849148988499044550772500949253994140989436531257826950153336030112478731838434316764895787741660597458158488889333869972691535297977686181013053333952226427170791307608470557004650494024440810638395846001231063108520585007047155467529084874545828487195466969383678372084948901
14: 1826589438944503441233944903619374450505261905526216392190051569548555311191158288867132938991947712288591383352357588138810394060302387326270400600396570764614934427901378777366474525326749920624362632713940031612926606920439054397967548375833719159919910473895631392945311389708800463637987473929840325809307030010774766185391004135689734801234068539673581567775247599312241880503731683150081948935872832347373134284011181695810360683632037786770652414081815536574735547003101607812553534569242800170074276069350462692933568357952987062502907512783970461830300863082344583363776284175469786477682472528820908926526978015048109278721956581080776106925683386344085908595453026188666824003645568312836844393452776707185739880242765885532671069322802588959974057953754440241274547755740805666209468229826073218310424533265403717016863713464933481439043224331825817565164707656783863059616635780195412599299890019236436263930950584822203151741820151538481327313250894614525005135671096533093671101268517348570123352986058151565118846051377378244992162124290532840857906027057164086589991526364319002339012160251861903081354327843235434099982103607251422708178709813535095709323459574676499772530632263072416255064323426190667204706459937331048039207608155531772816982817842713722875518708173547418014456222314932091002591308523682124993038543498600578558907708385547242803907175849701173431239528379850308459943588194282093011602458634084954659781107802
